1556,blood,30
4300,colonel,30
980,secret,30
827,dr,30
5346,dollars,30
26,fifth,30
410,pass,30
3165,faith,30
140,change,30
383,companion,30
868,circumstances,30
8289,executive,30
758,rich,30
3622,farm,30
9756,courts,30
4716,condition,30
1063,gold,30
8155,revolutionary,29
676,remarkable,29
8918,favored,29
5607,scotch,29
6731,principle,29
7784,delaware,29
3650,according,29
8447,settlers,29
81,tree,29
9187,statesmen,29
771,thrown,29
2108,millions,29
2708,inspector,29
342,extraordinary,29
4748,calhoun,29
1520,remember,29
327,week,29
3552,border,29
4653,voters,29
1096,features,29
8221,confederacy,29
28,multiply,29
1356,sort,29
146,print,29
1650,determined,29
1351,started,29
491,mary,29
8720,spain,29
8179,marshall,29
9888,orleans,29
648,peculiar,29
92,meat,29
4249,lamp,28
154,involved,28
2076,debts,28
42,creeping,28
6392,due,28
54,replenish,28
2517,danger,28
1362,search,28
1481,quiet,28
1925,square,28
3137,settled,28
11,main,28
8319,immigration,28
3909,bent,28
8471,charter,28
2074,live,28
8120,development,28
8644,seaboard,28
1760,months,28
9679,assembly,28
4343,bills,28
409,figure,28
21,likeness,28
198,headed,28
4840,forty,28
157,plain,28
643,bought,28
4989,tax,28
1632,silence,28
1127,walked,28
10155,elected,28
11559,votes,28
11549,federalist,28
3417,bitter,28
894,slowly,28
482,ago,28
1543,increased,28
769,coat,28
214,blue,28
1100,station,28
837,trust,28
1546,blow,28
304,marriage,28
226,coronet,28
1225,driven,28
598,eight,28
5006,companies,27
6142,original,27
950,difficult,27
5095,powerful,27
4728,direct,27
1152,employed,27
401,seized,27
3731,spite,27
4980,regular,27
1280,drive,27
2272,cost,27
8169,domestic,27
5044,resistance,27
8379,pioneers,27
7541,chapter,27
4585,region,27
2844,exclaimed,27
619,visitor,27
4409,10,27
2567,goose,27
9005,issued,27
1795,safe,27
2419,claim,27
2946,assistance,27
4469,record,27
4078,required,27
56,lesser,27
1736,continent,27
1484,dressed,27
1630,mine,27
1733,train,27
11865,nullification,27
6019,wide,27
6681,social,27
677,scene,27
1469,ourselves,27
1337,thank,27
2316,struggle,27
913,attempt,27
74,shed,27
2026,fortunes,27
3071,prevent,27
2877,leading,27
10728,debate,27
245,particularly,27
5440,victory,27
706,sharp,27
306,complete,26
7804,rhode,26
1732,5,26
5624,giving,26
7362,hunter,26
1105,situation,26
808,lower,26
3975,carrying,26
1322,hurried,26
1005,tried,26
3599,theory,26
1888,slight,26
247,cold,26
3548,estate,26
5488,buy,26
4655,opposed,26
6060,decided,26
928,doing,26
821,marked,26
995,photograph,26
5492,sold,26
13313,douglas,26
7837,revenue,26
1256,cab,26
2930,connection,26
842,caught,26
1006,failed,26
5328,famous,26
2125,sight,26
578,observed,26
7851,hart,26
5570,6,26
3524,servants,26
855,promise,26
317,society,26
905,agitation,26
489,clothes,25
6806,class,25
8890,protests,25
1242,latter,25
12328,webster,25
112,divide,25
2424,talk,25
668,brown,25
1462,fresh,25
1379,usual,25
2661,resources,25
4497,relations,25
1030,daughter,25
19,doesnt,25
4715,authorities,25
875,families,25
1570,dead,25
1848,share,25
1025,married,25
1171,windows,25
574,lead,25
2050,price,25
3563,sons,25
3011,hosmer,25
6813,directly,25
8164,ratification,25
3259,grounds,25
8598,owners,25
2436,tide,25
1307,reach,25
13,run,25
9649,governments,25
4076,break,25
575,hall,25
95,fowl,25
8314,organized,25
8472,grant,24
2619,narrow,24
5671,servitude,24
2361,thin,24
2542,nine,24
10407,agreed,24
1464,fine,24
777,secured,24
241,love,24
1336,towards,24
2315,advice,24
8861,ports,24
2034,affair,24
4766,february,24
3590,westward,24
9460,appointed,24
8113,migration,24
3475,platform,24
2536,armed,24
3500,granted,24
4307,negroes,24
719,glancing,24
3739,tea,24
8159,constitutional,24
3108,proposed,24
8231,supremacy,24
1916,grey,24
1278,pocket,24
2154,statement,24
2078,weeks,24
3105,speech,24
1720,husband,24
11120,monroe,24
121,arthur,24
3510,charles,24
924,passing,24
1265,maid,24
376,merely,24
7958,materials,24
1687,care,24
4603,provincial,24
2214,building,24
9092,sugar,24
3719,reference,24
2239,sum,24
7428,decision,24
3554,frightened,24
8739,inhabitants,24
1982,heavily,24
12614,abolition,24
340,immense,24
477,girl,24
2282,9,24
3352,wrong,23
1527,carriage,23
172,date,23
3508,farms,23
4569,education,23
1366,occasion,23
8944,callender,23
1252,details,23
6214,cast,23
1558,fall,23
3366,personal,23
4150,signed,23
4079,acting,23
4298,jacksons,23
4953,clair,23
5126,swept,23
2673,usually,23
442,kindly,23
983,follow,23
2885,convinced,23
1334,running,23
1113,success,23
253,reasoning,23
3986,holder,23
2913,practical,23
1182,expected,23
4758,leader,23
2502,amid,23
4273,appeal,23
1184,lane,23
7780,alabama,23
1833,afraid,23
1199,compelled,23
2367,bird,23
2918,reading,23
882,kings,23
4019,possession,23
2947,served,23
454,fashion,23
1037,send,23
2428,contrast,23
8898,plantations,23
3121,breakfast,23
188,start,23
3977,growing,23
2200,spread,23
8591,1776,23
1742,scattered,23
9563,regarded,23
8909,vols,23
325,books,23
849,absolute,22
2715,feared,22
1436,task,22
7710,including,22
1421,raise,22
1364,mean,22
684,ha,22
434,shown,22
886,glanced,22
415,swiftly,22
8489,dutch,22
8248,admission,22
3403,fate,22
10040,sentiment,22
8182,jacksonian,22
8796,mechanics,22
8255,currency,22
1480,contrary,22
3576,evidence,22
11660,anti,22
8338,settlements,22
1901,advertisement,22
1361,streets,22
145,legal,22
7186,accepted,22
3387,produced,22
10770,constitutions,22
199,league,22
7695,domain,22
2102,died,22
205,mystery,22
8773,increase,22
8098,8,22
1301,shot,22
12621,1850,22
9749,ballot,22
268,excellent,22
4412,destroyed,22
7458,studies,22
9926,canada,22
3118,wedding,22
4111,fixed,22
815,pushed,22
7803,oregon,22
6829,resolutions,22
795,appearance,22
1235,object,22
3705,feeling,22
560,easily,22
1398,turner,22
9969,financial,22
6113,portion,22
8257,protective,22
269,drawing,22
70,whales,22
2188,human,22
8466,countries,22
761,bad,22
4004,meant,22
1206,quietly,22
5466,balance,21
6437,necessity,21
2113,real,21
2014,7,21
4942,purchase,21
8983,inevitable,21
7081,funds,21
1222,advantages,21
851,weight,21
3851,truth,21
3758,charge,21
6732,management,21
4852,promised,21
9094,nevertheless,21
161,ebooks,21
3635,innocent,21
3641,frank,21
6995,paris,21
7945,profits,21
6401,masters,21
3045,stock,21
1618,joined,21
557,appears,21
6307,steadily,21
6062,dangerous,21
4313,exercise,21
1667,box,21
9868,louis,21
